date,id,content,username,like_count,retweet_count
2023-03-22 04:06:22+00:00,1638391642771300353,I heard that they had to hold the Maralago diaper change squad over to handle the late night spontaneous toxic waste eruptions from their man baby's anal cavity! A nasty and smelly job but somebody has to do it!  You know damn well it's not going to be Melania! Sad! #DonaldTrump,BSBuster7,0,0
2023-03-22 04:06:18+00:00,1638391625637404672,"Time the banks were under the microscope! Again. 
Then President Obama put safeguards into place. Numb-nuts Donald Trump deregulated them as he deregulated a number of things. Yes under the then @GOP REPUBLICANS.

SO LETS PUT THE BLAME where it belongs ! 
Yep those current fucks",JPHaukkavaara,0,0
2023-03-22 04:05:59+00:00,1638391549544235008,"WATCH: Ari Melber repeatedly pushes former President Donald Trump’s defense attorney Drew Findling in the Georgia 2020 election interference investigation…discussing evidence in case. 

#TheBeat with Ari Melber 

https://t.co/oYOSY17oY5",LiddleSavages,1,1
2023-03-22 04:05:51+00:00,1638391514454949889,"Prince Harry facing deportation threat amid legal challenge over visa application https://t.co/CMXUvg2lL5 via @newscomauHQ 
Come on, for christ-sake, get real.
He is not a rapist or murderer.
Your busy with Donald Trump leave Harry alone.",Billzy846091241,0,0
2023-03-22 04:05:40+00:00,1638391468422479874,@lexfridman @sama Why does ChatGPT have such a left wing bias?  Can Sam make ChatGPT sing a song praising Donald Trump?  What is he doing to fix this or if he’s not- why does he think it’s good to have incredibly biased AI?,cocotwee,0,0
2023-03-22 04:05:35+00:00,1638391448981876736,Ron DeBrutus can't beat Donald Trump and never could to begin with https://t.co/J56DMxPfTt,BMCKINNEY1971,0,0
2023-03-22 04:05:29+00:00,1638391423715139584,@Jim_Jordan Correction: Americans want a Donald Trump prosecution.,SkyBandit44,0,0
2023-03-22 04:05:27+00:00,1638391414336679937,"Okukwatibwa kwa Donald Trump
https://t.co/NBefv7qJXH",Insideuganda1,0,0
2023-03-22 04:05:27+00:00,1638391412189458434,"He’s ready for his perp walk. 

Donald Trump is the Norma Desmond of crime.",kimmasters,4,0
2023-03-22 04:05:26+00:00,1638391411488747520,"@Jim_Jordan We want safe neighborhoods 

AND

Donald Trump prosecuted for crimes 

They are not mutually exclusive 🤷‍♂️",Dialect19612117,0,0
2023-03-22 04:05:23+00:00,1638391398297632769,"@RonFilipkowski ""People of the jury,  Gym Jordan doesn't think Donald Trump broke the law.""

Good lord, how do we counter that brilliant defense?!",i_gvf,0,0
2023-03-22 04:05:10+00:00,1638391343616602112,"@RNCResearch Language Expert: John McWhorter Professor of Linguistics Columbia University (Ph.d. from Stanford)

Donald Trump's Way Of Speaking Is 'Oddly Adolescent' 

https://t.co/IHPxlAZ6y7",Art1Vegan,0,0
2023-03-22 04:05:07+00:00,1638391329905422341,@Jim_Jordan Is this your plan for dealing with inflation?  Are you suggesting that Donald Trump is being indicted for reasons other than vomiting a crime and getting caught?,Michael87494463,0,0
2023-03-22 04:04:59+00:00,1638391295214329856,@BillKristol Who was it that pardoned convicted criminals who are now “roaming the streets” and causing more havoc - Donald Trump.,mountainofroses,1,0
2023-03-22 04:04:56+00:00,1638391283491254272,Donald trump got arrested 🫵🏽 #TrumpArrest #trumparrested #Trending  #videoftrumparrest https://t.co/HLhMRy81Oz,Alfredo68753325,0,0
2023-03-22 04:04:52+00:00,1638391265556348929,"#Hocicón | Presidencia EU 2024: Cacería

Por qué Donald Trump dice que va a ser arrestado este martes

(Martes 21 de marzo de 2023) https://t.co/Q493l95xOR",hocicon_oficial,0,0
2023-03-22 04:04:47+00:00,1638391247441149952,@hodgetwins Will Donald Trump go to hell for inciting the insurrection? He needs to pay his debt to society.,Shabannie,0,0
2023-03-22 04:04:44+00:00,1638391235307003904,Donald Trump aseguró que será detenido el martes y convocó a protestas en su defensa https://t.co/gyb65jYp5g,totalnewsagency,0,0
2023-03-22 04:04:26+00:00,1638391156085239808,"@hornersaz53 @LeadingReport I heard, Pres. Donald Trump had  been found innocent, that it never happened.  /  With Jan. 6th, he clearly said:  ""peacefully and patriotically.""  How is this inciting violence?!  We have political prisoners, who did nothing wrong, who cannot see their lawyers or clergy.",TinaMSchmidt2,0,0
2023-03-22 04:04:24+00:00,1638391149894283264,"@The_Trump_Train Yes he needs too be arrested.
God Bless you Mr President Donald Trump. You have never Stopped being my President. I remember you of course you were kicking  ass
Then everything shut down on election night 3:00 middle of the night",Elizabe13881685,0,0
2023-03-22 04:04:24+00:00,1638391149533511683,Donald Trump may finally face an indictment https://t.co/928FA9hwvx,BestFinanciall,0,0
2023-03-22 04:04:16+00:00,1638391114528067586,"Donald Trump, where are you going?🏑 https://t.co/s5Zo705hIU",wuxiangshengxi,0,0
2023-03-22 04:04:10+00:00,1638391089009664005,Random Trump https://t.co/jiepMeikVo - #randomtrump #trump #donaldtrump #giphy #gif #gifs https://t.co/cI9GKBxvPW,randomtrump1,0,0
